pricingdate,priceclose,r1,signal,prediction_state,ret,strategy,long-cash,long-short
2003-06-10,269.4150009155274,0.0047737208636686,1,1.0,0.0047737208636686,0.0047737208636686,0.0047737208636686,0.0047737208636686
2003-06-11,274.3275012969971,0.0182339526929682,1,1.0,0.0182339526929682,0.0182339526929682,0.0182339526929682,0.0182339526929682
2003-06-12,274.48249340057373,0.0005649893023624,1,1.0,0.0005649893023624,0.0005649893023624,0.0005649893023624,0.0005649893023624
2003-06-13,270.97750282287603,-0.0127694503728609,0,1.0,-0.0127694503728609,-0.0127694503728609,-0.0127694503728609,-0.0127694503728609
2003-06-16,277.11500263214106,0.0226494810282347,1,1.0,0.0226494810282347,0.0226494810282347,0.0226494810282347,0.0226494810282347
2003-06-17,277.00999736785894,-0.0003789230582423,0,1.0,-0.0003789230582423,-0.0003789230582423,-0.0003789230582423,-0.0003789230582423
2003-06-18,275.685001373291,-0.0047832064082811,0,1.0,-0.0047832064082811,-0.0047832064082811,-0.0047832064082811,-0.0047832064082811
2003-06-19,273.582504272461,-0.0076264471783258,0,1.0,-0.0076264471783258,-0.0076264471783258,-0.0076264471783258,-0.0076264471783258
2003-06-20,275.07249927520746,0.0054462364349976,1,1.0,0.0054462364349976,0.0054462364349976,0.0054462364349976,0.0054462364349976
2003-06-23,272.21499919891363,-0.0103881706961735,0,1.0,-0.0103881706961735,-0.0103881706961735,-0.0103881706961735,-0.0103881706961735
2003-06-24,273.25500202178955,0.0038205199049887,1,1.0,0.0038205199049887,0.0038205199049887,0.0038205199049887,0.0038205199049887
2003-06-25,274.04499912261963,0.0028910618103419,1,1.0,0.0028910618103419,0.0028910618103419,0.0028910618103419,0.0028910618103419
2003-06-26,276.85499382019043,0.0102537711199519,1,1.0,0.0102537711199519,0.0102537711199519,0.0102537711199519,0.0102537711199519
2003-06-27,274.69999980926514,-0.0077838365174113,0,1.0,-0.0077838365174113,-0.0077838365174113,-0.0077838365174113,-0.0077838365174113
2003-06-30,273.045000076294,-0.0060247533095024,0,1.0,-0.0060247533095024,-0.0060247533095024,-0.0060247533095024,-0.0060247533095024
2003-07-01,274.4500017166137,0.0051456779649041,1,1.0,0.0051456779649041,0.0051456779649041,0.0051456779649041,0.0051456779649041
2003-07-02,277.8525009155274,0.0123975193209393,1,1.0,0.0123975193209393,0.0123975193209393,0.0123975193209393,0.0123975193209393
2003-07-03,275.8375005722046,-0.0072520504104994,0,1.0,-0.0072520504104994,-0.0072520504104994,-0.0072520504104994,-0.0072520504104994
2003-07-07,280.55250072479254,0.0170933978984255,1,1.0,0.0170933978984255,0.0170933978984255,0.0170933978984255,0.0170933978984255
2003-07-08,279.90000343322754,-0.0023257582444613,0,1.0,-0.0023257582444613,-0.0023257582444613,-0.0023257582444613,-0.0023257582444613
2003-07-09,278.59249687194824,-0.0046713345667793,0,1.0,-0.0046713345667793,-0.0046713345667793,-0.0046713345667793,-0.0046713345667793
2003-07-10,275.4300031661988,-0.0113516829823421,0,1.0,-0.0113516829823421,-0.0113516829823421,-0.0113516829823421,-0.0113516829823421
2003-07-11,277.2199983596802,0.0064989114217934,1,1.0,0.0064989114217934,0.0064989114217934,0.0064989114217934,0.0064989114217934
2003-07-14,278.21000099182135,0.0035711804270939,1,1.0,0.0035711804270939,0.0035711804270939,0.0035711804270939,0.0035711804270939
2003-07-15,277.5825004577637,-0.0022554923684288,0,1.0,-0.0022554923684288,-0.0022554923684288,-0.0022554923684288,-0.0022554923684288
2003-07-16,276.41499996185297,-0.0042059585672198,0,1.0,-0.0042059585672198,-0.0042059585672198,-0.0042059585672198,-0.0042059585672198
2003-07-17,272.3675012588501,-0.014642833071872,0,1.0,-0.014642833071872,-0.014642833071872,-0.014642833071872,-0.014642833071872
2003-07-18,278.0699977874756,0.0209367729346168,1,1.0,0.0209367729346168,0.0209367729346168,0.0209367729346168,0.0209367729346168
2003-07-21,277.0949945449829,-0.0035063230490541,0,1.0,-0.0035063230490541,-0.0035063230490541,-0.0035063230490541,-0.0035063230490541
2003-07-22,281.0125036239624,0.0141377836341376,1,1.0,0.0141377836341376,0.0141377836341376,0.0141377836341376,0.0141377836341376
2003-07-23,282.4850006103516,0.005239969636225,1,1.0,0.005239969636225,0.005239969636225,0.005239969636225,0.005239969636225
2003-07-24,282.01500415802,-0.0016637925954158,0,1.0,-0.0016637925954158,-0.0016637925954158,-0.0016637925954158,-0.0016637925954158
2003-07-25,284.1324968338012,0.0075084397800153,1,1.0,0.0075084397800153,0.0075084397800153,0.0075084397800153,0.0075084397800153
2003-07-28,286.4175014495849,0.0080420389826803,1,1.0,0.0080420389826803,0.0080420389826803,0.0080420389826803,0.0080420389826803
2003-07-29,284.16999912261963,-0.0078469448116491,0,1.0,-0.0078469448116491,-0.0078469448116491,-0.0078469448116491,-0.0078469448116491
2003-07-30,285.66499900817865,0.0052609349691203,1,1.0,0.0052609349691203,0.0052609349691203,0.0052609349691203,0.0052609349691203
2003-07-31,286.93249988555914,0.0044370184719202,1,1.0,0.0044370184719202,0.0044370184719202,0.0044370184719202,0.0044370184719202
2003-08-01,283.96499919891363,-0.0103421560395879,0,1.0,-0.0103421560395879,-0.0103421560395879,-0.0103421560395879,-0.0103421560395879
2003-08-04,285.01499938964844,0.0036976394756289,1,1.0,0.0036976394756289,0.0036976394756289,0.0036976394756289,0.0036976394756289
2003-08-05,279.1399974822998,-0.0206129569318449,0,1.0,-0.0206129569318449,-0.0206129569318449,-0.0206129569318449,-0.0206129569318449
2003-08-06,279.957501411438,0.0029286520617313,1,1.0,0.0029286520617313,0.0029286520617313,0.0029286520617313,0.0029286520617313
2003-08-07,279.42749977111816,-0.0018931503447764,0,1.0,-0.0018931503447764,-0.0018931503447764,-0.0018931503447764,-0.0018931503447764
2003-08-08,281.0625,0.0058512502535401,1,1.0,0.0058512502535401,0.0058512502535401,0.0058512502535401,0.0058512502535401
2003-08-11,282.6400022506714,0.0056126386503763,1,1.0,0.0056126386503763,0.0056126386503763,0.0056126386503763,0.0056126386503763
2003-08-12,285.0949974060058,0.0086859437297808,1,1.0,0.0086859437297808,0.0086859437297808,0.0086859437297808,0.0086859437297808
2003-08-13,281.6874990463257,-0.0119521506539364,0,1.0,-0.0119521506539364,-0.0119521506539364,-0.0119521506539364,-0.0119521506539364
2003-08-14,284.52999782562256,0.010090965303467,1,1.0,0.010090965303467,0.010090965303467,0.010090965303467,0.010090965303467
2003-08-15,283.9049987792969,-0.0021966015924574,0,1.0,-0.0021966015924574,-0.0021966015924574,-0.0021966015924574,-0.0021966015924574
2003-08-18,287.1375017166137,0.0113858612959112,1,1.0,0.0113858612959112,0.0113858612959112,0.0113858612959112,0.0113858612959112
2003-08-19,288.9600048065185,0.0063471440651576,1,1.0,0.0063471440651576,0.0063471440651576,0.0063471440651576,0.0063471440651576
2003-08-20,288.73499870300293,-0.0007786755944522,0,1.0,-0.0007786755944522,-0.0007786755944522,-0.0007786755944522,-0.0007786755944522
2003-08-21,288.7675037384033,0.0001125773998524,1,1.0,0.0001125773998524,0.0001125773998524,0.0001125773998524,0.0001125773998524
2003-08-22,285.3399953842163,-0.0118694392887505,0,1.0,-0.0118694392887505,-0.0118694392887505,-0.0118694392887505,-0.0118694392887505
2003-08-25,285.00999927520746,-0.0011565014170706,0,1.0,-0.0011565014170706,-0.0,-0.0,0.0011565014170706
2003-08-26,286.80249595642084,0.0062892413802033,1,0.0,0.0062892413802033,0.0,0.0,-0.0062892413802033
2003-08-27,287.3349990844726,0.0018566893090521,1,0.0,0.0018566893090521,0.0018566893090521,0.0018566893090521,0.0018566893090521
2003-08-28,289.455002784729,0.0073781603598979,1,1.0,0.0073781603598979,0.0,0.0,-0.0073781603598979
2003-08-29,290.55500030517584,0.0038002366857168,1,0.0,0.0038002366857168,0.0,0.0,-0.0038002366857168
2003-09-02,295.3375053405762,0.0164598958213668,1,0.0,0.0164598958213668,0.0164598958213668,0.0164598958213668,0.0164598958213668
2003-09-03,296.4599990844726,0.0038007151939678,1,1.0,0.0038007151939678,0.0038007151939678,0.0038007151939678,0.0038007151939678
2003-09-04,295.3949995040894,-0.0035923888000817,0,1.0,-0.0035923888000817,-0.0035923888000817,-0.0035923888000817,-0.0035923888000817
2003-09-05,295.1900005340576,-0.0006939825331365,0,1.0,-0.0006939825331365,-0.0006939825331365,-0.0006939825331365,-0.0006939825331365
2003-09-08,299.7975006103516,0.0156085913071515,1,1.0,0.0156085913071515,0.0156085913071515,0.0156085913071515,0.0156085913071515
2003-09-09,298.72499847412115,-0.0035774218732543,0,1.0,-0.0035774218732543,-0.0035774218732543,-0.0035774218732543,-0.0035774218732543
2003-09-10,293.2000017166137,-0.0184952608108757,0,1.0,-0.0184952608108757,-0.0184952608108757,-0.0184952608108757,-0.0184952608108757
2003-09-11,293.92750072479254,0.0024812380761234,1,1.0,0.0024812380761234,0.0024812380761234,0.0024812380761234,0.0024812380761234
2003-09-12,295.0999956130982,0.0039890615386937,1,1.0,0.0039890615386937,0.0039890615386937,0.0039890615386937,0.0039890615386937
2003-09-15,293.8825016021728,-0.0041256998611465,0,1.0,-0.0041256998611465,-0.0,-0.0,0.0041256998611465
2003-09-16,297.61249637603765,0.0126921295195521,1,0.0,0.0126921295195521,0.0126921295195521,0.0126921295195521,0.0126921295195521
2003-09-17,295.3625011444092,-0.0075601503936364,0,1.0,-0.0075601503936364,-0.0075601503936364,-0.0075601503936364,-0.0075601503936364
2003-09-18,298.5275030136108,0.0107156523151672,1,1.0,0.0107156523151672,0.0107156523151672,0.0107156523151672,0.0107156523151672
2003-09-19,297.63249778747564,-0.0029980662320899,0,1.0,-0.0029980662320899,-0.0029980662320899,-0.0029980662320899,-0.0029980662320899
2003-09-22,293.96250057220465,-0.0123306333903482,0,1.0,-0.0123306333903482,-0.0123306333903482,-0.0123306333903482,-0.0123306333903482
2003-09-23,294.247501373291,0.0009695141405168,1,1.0,0.0009695141405168,0.0009695141405168,0.0009695141405168,0.0009695141405168
2003-09-24,288.6049995422363,-0.0191760399144271,0,1.0,-0.0191760399144271,-0.0191760399144271,-0.0191760399144271,-0.0191760399144271
2003-09-25,287.0075035095215,-0.0055352333994513,0,1.0,-0.0055352333994513,-0.0055352333994513,-0.0055352333994513,-0.0055352333994513
2003-09-26,285.0925016403198,-0.0066723059355071,0,1.0,-0.0066723059355071,-0.0066723059355071,-0.0066723059355071,-0.0066723059355071
2003-09-29,287.2200002670288,0.0074624853844562,1,1.0,0.0074624853844562,0.0074624853844562,0.0074624853844562,0.0074624853844562
2003-09-30,285.88750267028814,-0.0046392925127146,0,1.0,-0.0046392925127146,-0.0,-0.0,0.0046392925127146
2003-10-01,290.4049987792969,0.0158016564796075,1,0.0,0.0158016564796075,0.0158016564796075,0.0158016564796075,0.0158016564796075
2003-10-02,291.5100011825562,0.0038050391966533,1,1.0,0.0038050391966533,0.0038050391966533,0.0038050391966533,0.0038050391966533
2003-10-03,293.26500034332275,0.0060203737561221,1,1.0,0.0060203737561221,0.0060203737561221,0.0060203737561221,0.0060203737561221
2003-10-06,294.9375028610229,0.0057030416713286,1,1.0,0.0057030416713286,0.0057030416713286,0.0057030416713286,0.0057030416713286
2003-10-07,295.5649976730347,0.0021275517895307,1,1.0,0.0021275517895307,0.0021275517895307,0.0021275517895307,0.0021275517895307
2003-10-08,295.76500129699707,0.0006766823728689,1,1.0,0.0006766823728689,0.0006766823728689,0.0006766823728689,0.0006766823728689
2003-10-09,296.58500099182135,0.0027724703437808,1,1.0,0.0027724703437808,0.0027724703437808,0.0027724703437808,0.0027724703437808
2003-10-10,298.4299993515014,0.0062208080432599,1,1.0,0.0062208080432599,0.0062208080432599,0.0062208080432599,0.0062208080432599
2003-10-13,300.6774988174438,0.0075310775418901,1,1.0,0.0075310775418901,0.0075310775418901,0.0075310775418901,0.0075310775418901
2003-10-14,301.3449974060058,0.0022199818449577,1,1.0,0.0022199818449577,0.0022199818449577,0.0022199818449577,0.0022199818449577
2003-10-15,299.43000030517584,-0.0063548328902569,0,1.0,-0.0063548328902569,-0.0063548328902569,-0.0063548328902569,-0.0063548328902569
2003-10-16,299.6975002288818,0.0008933638026697,1,1.0,0.0008933638026697,0.0008933638026697,0.0008933638026697,0.0008933638026697
2003-10-17,295.92500495910645,-0.0125876767970847,0,1.0,-0.0125876767970847,-0.0125876767970847,-0.0125876767970847,-0.0125876767970847
2003-10-20,297.1425018310547,0.0041142074902271,1,1.0,0.0041142074902271,0.0041142074902271,0.0041142074902271,0.0041142074902271
2003-10-21,298.34249591827387,0.0040384464686964,1,1.0,0.0040384464686964,0.0040384464686964,0.0040384464686964,0.0040384464686964
2003-10-22,293.2000017166137,-0.0172368813428069,0,1.0,-0.0172368813428069,-0.0172368813428069,-0.0172368813428069,-0.0172368813428069
2003-10-23,292.4849967956543,-0.0024386252277397,0,1.0,-0.0024386252277397,-0.0024386252277397,-0.0024386252277397,-0.0024386252277397
2003-10-24,291.96499824523926,-0.0017778640139218,0,1.0,-0.0017778640139218,-0.0017778640139218,-0.0017778640139218,-0.0017778640139218
2003-10-27,292.93750190734863,0.0033308912642073,1,1.0,0.0033308912642073,0.0033308912642073,0.0033308912642073,0.0033308912642073
2003-10-28,294.604998588562,0.0056923291499249,1,1.0,0.0056923291499249,0.0056923291499249,0.0056923291499249,0.0056923291499249
2003-10-29,297.54249572753906,0.0099709684256901,1,1.0,0.0099709684256901,0.0099709684256901,0.0099709684256901,0.0099709684256901
2003-10-30,299.51999664306635,0.0066461125517283,1,1.0,0.0066461125517283,0.0066461125517283,0.0066461125517283,0.0066461125517283
2003-10-31,297.20499992370605,-0.0077290222532925,0,1.0,-0.0077290222532925,-0.0077290222532925,-0.0077290222532925,-0.0077290222532925
2003-11-03,298.0475006103516,0.0028347460064999,1,1.0,0.0028347460064999,0.0028347460064999,0.0028347460064999,0.0028347460064999
2003-11-04,297.8775005340576,-0.0005703791373717,0,1.0,-0.0005703791373717,-0.0005703791373717,-0.0005703791373717,-0.0005703791373717
2003-11-05,296.7199974060058,-0.003885836043261,0,1.0,-0.003885836043261,-0.003885836043261,-0.003885836043261,-0.003885836043261
2003-11-06,297.0524997711182,0.0011205930440116,1,1.0,0.0011205930440116,0.0011205930440116,0.0011205930440116,0.0011205930440116
2003-11-07,296.98250198364263,-0.0002356411325591,0,1.0,-0.0002356411325591,-0.0002356411325591,-0.0002356411325591,-0.0002356411325591
2003-11-10,294.0224952697754,-0.0099669397829714,0,1.0,-0.0099669397829714,-0.0099669397829714,-0.0099669397829714,-0.0099669397829714
2003-11-11,288.1950025558472,-0.0198198872796494,0,1.0,-0.0198198872796494,-0.0198198872796494,-0.0198198872796494,-0.0198198872796494
2003-11-12,292.78749752044683,0.0159353733543996,1,1.0,0.0159353733543996,0.0159353733543996,0.0159353733543996,0.0159353733543996
2003-11-13,292.8549976348877,0.0002305430218589,1,1.0,0.0002305430218589,0.0002305430218589,0.0002305430218589,0.0002305430218589
2003-11-14,292.0000009536743,-0.0029195222486158,0,1.0,-0.0029195222486158,-0.0029195222486158,-0.0029195222486158,-0.0029195222486158
2003-11-17,290.247501373291,-0.0060017108721219,0,1.0,-0.0060017108721219,-0.0060017108721219,-0.0060017108721219,-0.0060017108721219
2003-11-18,284.81249713897705,-0.0187254126516112,0,1.0,-0.0187254126516112,-0.0187254126516112,-0.0187254126516112,-0.0187254126516112
2003-11-19,283.9049987792969,-0.0031863010534869,0,1.0,-0.0031863010534869,-0.0031863010534869,-0.0031863010534869,-0.0031863010534869
2003-11-20,282.854998588562,-0.0036984209339375,0,1.0,-0.0036984209339375,-0.0036984209339375,-0.0036984209339375,-0.0036984209339375
2003-11-21,283.1350011825562,0.000989915664886,1,1.0,0.000989915664886,0.000989915664886,0.000989915664886,0.000989915664886
2003-11-24,284.2050018310547,0.0037791182440514,1,1.0,0.0037791182440514,0.0037791182440514,0.0037791182440514,0.0037791182440514
2003-11-25,285.3424997329712,0.0040023852310406,1,1.0,0.0040023852310406,0.0040023852310406,0.0040023852310406,0.0040023852310406
2003-11-26,288.0425004959106,0.0094623155171982,1,1.0,0.0094623155171982,0.0094623155171982,0.0094623155171982,0.0094623155171982
2003-11-28,287.40499687194824,-0.002213227641285,0,1.0,-0.002213227641285,-0.002213227641285,-0.002213227641285,-0.002213227641285
2003-12-01,293.53499889373785,0.0213287941702724,1,1.0,0.0213287941702724,0.0213287941702724,0.0213287941702724,0.0213287941702724
2003-12-02,292.06750106811523,-0.0049993964302491,0,1.0,-0.0049993964302491,-0.0049993964302491,-0.0049993964302491,-0.0049993964302491
2003-12-03,289.6899976730347,-0.0081402531482819,0,1.0,-0.0081402531482819,-0.0081402531482819,-0.0081402531482819,-0.0081402531482819
2003-12-04,290.47999572753906,0.0027270463628366,1,1.0,0.0027270463628366,0.0027270463628366,0.0027270463628366,0.0027270463628366
2003-12-05,289.14499759674067,-0.0045958349987395,0,1.0,-0.0045958349987395,-0.0045958349987395,-0.0045958349987395,-0.0045958349987395
2003-12-08,292.26499938964844,0.0107904401557694,1,1.0,0.0107904401557694,0.0107904401557694,0.0107904401557694,0.0107904401557694
2003-12-09,290.4574995040894,-0.0061844555089859,0,1.0,-0.0061844555089859,-0.0061844555089859,-0.0061844555089859,-0.0061844555089859
2003-12-10,289.1050014495849,-0.0046564404665521,0,1.0,-0.0046564404665521,-0.0046564404665521,-0.0046564404665521,-0.0046564404665521
2003-12-11,294.5050048828125,0.018678346642748,1,1.0,0.018678346642748,0.018678346642748,0.018678346642748,0.018678346642748
2003-12-12,296.9274988174438,0.00822564606532,1,1.0,0.00822564606532,0.00822564606532,0.00822564606532,0.00822564606532
2003-12-15,294.4450006484986,-0.0083606206189463,0,1.0,-0.0083606206189463,-0.0083606206189463,-0.0083606206189463,-0.0083606206189463
2003-12-16,296.6349973678589,0.0074377106574641,1,1.0,0.0074377106574641,0.0074377106574641,0.0074377106574641,0.0074377106574641
2003-12-17,297.67750072479254,0.0035144314264468,1,1.0,0.0035144314264468,0.0035144314264468,0.0035144314264468,0.0035144314264468
2003-12-18,300.24999809265137,0.0086418938670047,1,1.0,0.0086418938670047,0.0086418938670047,0.0086418938670047,0.0086418938670047
2003-12-19,301.8374996185304,0.0052872657317688,1,1.0,0.0052872657317688,0.0052872657317688,0.0052872657317688,0.0052872657317688
2003-12-22,303.03499794006353,0.0039673609907537,1,1.0,0.0039673609907537,0.0039673609907537,0.0039673609907537,0.0039673609907537
2003-12-23,304.0925016403198,0.0034897081440921,1,1.0,0.0034897081440921,0.0034897081440921,0.0034897081440921,0.0034897081440921
2003-12-24,303.5650005340576,-0.0017346731781178,0,1.0,-0.0017346731781178,-0.0017346731781178,-0.0017346731781178,-0.0017346731781178
2003-12-26,304.32249927520746,0.0024953428090104,1,1.0,0.0024953428090104,0.0024953428090104,0.0024953428090104,0.0024953428090104
2003-12-29,306.4350004196167,0.0069416528499879,1,1.0,0.0069416528499879,0.0069416528499879,0.0069416528499879,0.0069416528499879
2003-12-30,307.8049983978272,0.0044707620746142,1,1.0,0.0044707620746142,0.0044707620746142,0.0044707620746142,0.0044707620746142
2003-12-31,307.42750072479254,-0.001226418268058,0,1.0,-0.001226418268058,-0.001226418268058,-0.001226418268058,-0.001226418268058
2004-01-02,306.285005569458,-0.0037163075933054,0,1.0,-0.0037163075933054,-0.0037163075933054,-0.0037163075933054,-0.0037163075933054
2004-01-05,306.92750453948975,0.0020977160433863,1,1.0,0.0020977160433863,0.0020977160433863,0.0020977160433863,0.0020977160433863
2004-01-06,307.82749938964844,0.0029322717477178,1,1.0,0.0029322717477178,0.0029322717477178,0.0029322717477178,0.0029322717477178
2004-01-07,307.32999515533453,-0.0016161786562292,0,1.0,-0.0016161786562292,-0.0016161786562292,-0.0016161786562292,-0.0016161786562292
2004-01-08,311.34000205993647,0.0130478865317889,1,1.0,0.0130478865317889,0.0130478865317889,0.0130478865317889,0.0130478865317889
2004-01-09,309.81750202178955,-0.0048901523353041,0,1.0,-0.0048901523353041,-0.0048901523353041,-0.0048901523353041,-0.0048901523353041
